Iniciando medicion de pulsos...
Tiempo(ms), Pulsos_por_segundo
1000, 0
2000, 0
3000, 0
4000, 0
5000, 0
6000, 0
7000, 0
8000, 0
9000, 0
10000, 0
11000, 2
12000, 0
13000, 0
14000, 0
15000, 1
16000, 0
17000, 3
18000, 2
19000, 10
20000, 8
21000, 5
22000, 6
23000, 7
24000, 9
25000, 11
26000, 10
27000, 11
28000, 11
29000, 12
30000, 14
31000, 14
32000, 15
33000, 17
34000, 16
35000, 18
36000, 19
37000, 20
38000, 17
39000, 18
40000, 20
41000, 21
42000, 21
43000, 22
44000, 21
45000, 21
46000, 22
47000, 23
48000, 23
49000, 26
50000, 25
51000, 25
52000, 25
53000, 26
54000, 23
55000, 26
56000, 21
57000, 21
58000, 21
59000, 20
60000, 22
61000, 19
62000, 22
63000, 19
64000, 19
65000, 16
66000, 20
67000, 17
68000, 17
69000, 15
70000, 20
71000, 17
72000, 18
73000, 17
74000, 19
75000, 20
76000, 23
77000, 20
78000, 21
79000, 24
80000, 18
81000, 19
82000, 20
83000, 17
84000, 18
85000, 16
86000, 16
87000, 14
88000, 13
89000, 13
90000, 10
91000, 10
92000, 9
93000, 11
94000, 10
95000, 9
96000, 11
97000, 8
98000, 9
99000, 6
100000, 8
101000, 8
102000, 5
103000, 1
104000, 0
105000, 0
106000, 0
107000, 0
108000, 0
109000, 0
110000, 0
111000, 0
112000, 0
113000, 0
114000, 0
115000, 0
116000, 7
117000, 9
118000, 8
119000, 8
120000, 11
121000, 8
122000, 17
123000, 26
124000, 28
125000, 29
126000, 27
127000, 30
128000, 33
129000, 39
130000, 41
131000, 45
132000, 45
133000, 46
134000, 46
135000, 48
136000, 47
137000, 50
138000, 50
139000, 50
140000, 49
141000, 47
142000, 48
143000, 47
144000, 44
145000, 46
146000, 47
147000, 48
148000, 49
149000, 48
150000, 49
151000, 33
152000, 21
153000, 1
154000, 0
155000, 0
156000, 0
157000, 0
158000, 0
159000, 0
160000, 0
161000, 0
162000, 0
163000, 0
16
